age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed
66,Male,"Less than $25,000",British Columbia,Above bachelor,No,Single,Both English and French,No
64,Female,"$125,000 and more",British Columbia,Bachelor's degree,Yes,Has a partner,English only,Yes
80,Male,"Less than $25,000",Ontario,Less than high school,No,Single,English only,No
68,Female,"Less than $25,000",Nova Scotia,College or certificate,Yes,Single,English only,Yes
67,Male,"$125,000 and more",Saskatchewan,College or certificate,Yes,Single,English only,Yes
62,Female,"Less than $25,000",British Columbia,College or certificate,No,Single,English only,Yes
71,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,No
40,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes
26,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
57,Male,"$125,000 and more",Alberta,College or certificate,No,Has a partner,English only,Yes
36,Male,"$125,000 and more",Saskatchewan,High school diploma,No,Has a partner,English only,Yes
63,Male,"$25,000 to $49,999",Alberta,College or certificate,Yes,Has a partner,English only,No
39,Female,"$50,000 to $74,999",Prince Edward Island,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
75,Male,"$50,000 to $74,999",Prince Edward Island,Less than high school,Yes,Single,English only,No
63,Male,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,Both English and French,No
66,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,No,Has a partner,Both English and French,Yes
20,Female,"$125,000 and more",Alberta,High school diploma,No,Single,English only,Yes
72,Female,"$25,000 to $49,999",New Brunswick,High school diploma,Yes,Single,English only,No
28,Male,"$50,000 to $74,999",Newfoundland and Labrador,Bachelor's degree,Yes,Single,Both English and French,Yes
45,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
63,Female,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,No
28,Female,"$100,000 to $ 124,999",Quebec,Above bachelor,Yes,Has a partner,Both English and French,No
57,Female,"$25,000 to $49,999",Saskatchewan,High school diploma,Yes,Single,English only,Yes
58,Female,"Less than $25,000",Manitoba,High school diploma,Yes,Single,English only,Yes
61,Female,"$50,000 to $74,999",Alberta,High school diploma,Yes,Has a partner,English only,Yes
66,Male,"$75,000 to $99,999",Nova Scotia,High school diploma,Yes,Has a partner,English only,No
63,Male,"Less than $25,000",Ontario,Less than high school,Yes,Single,Both English and French,No
33,Male,"$125,000 and more",Newfoundland and Labrador,College or certificate,Yes,Has a partner,English only,Yes
39,Male,"$75,000 to $99,999",Quebec,High school diploma,Yes,Has a partner,French only,Yes
56,Female,"$50,000 to $74,999",British Columbia,High school diploma,Yes,Has a partner,English only,Yes
34,Male,"$50,000 to $74,999",Manitoba,Above bachelor,Yes,Has a partner,English only,Yes
48,Female,"$125,000 and more",Nova Scotia,High school diploma,Yes,Single,English only,Yes
22,Male,"$125,000 and more",Ontario,College or certificate,No,Single,Both English and French,Yes
65,Male,"$75,000 to $99,999",British Columbia,High school diploma,Yes,Single,English only,Yes
22,Female,"$25,000 to $49,999",Manitoba,Less than high school,Yes,Has a partner,English only,Yes
50,Female,"$25,000 to $49,999",Alberta,High school diploma,Yes,Single,English only,Yes
23,Male,"$125,000 and more",Nova Scotia,High school diploma,No,Single,English only,Yes
66,Male,"$100,000 to $ 124,999",New Brunswick,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
50,Male,"$25,000 to $49,999",British Columbia,Bachelor's degree,No,Single,English only,Yes
37,Male,"$125,000 and more",Alberta,Above bachelor,Yes,Has a partner,English only,Yes
80,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,No
62,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,French only,No
60,Male,"$50,000 to $74,999",Saskatchewan,Bachelor's degree,Yes,Single,English only,Yes
42,Female,"$125,000 and more",Newfoundland and Labrador,College or certificate,Yes,Has a partner,English only,Yes
66,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,No
17,Male,"$50,000 to $74,999",Ontario,Less than high school,Yes,Single,English only,No
80,Female,"$75,000 to $99,999",Saskatchewan,College or certificate,Yes,Has a partner,English only,No
77,Male,"$50,000 to $74,999",British Columbia,High school diploma,No,Has a partner,Both English and French,No
36,Female,"$125,000 and more",British Columbia,High school diploma,No,Has a partner,English only,Yes
67,Male,"$100,000 to $ 124,999",Ontario,High school diploma,No,Has a partner,English only,No
26,Female,"Less than $25,000",Quebec,Less than high school,No,Single,Both English and French,No
55,Female,"$50,000 to $74,999",New Brunswick,High school diploma,Yes,Has a partner,English only,No
17,Male,"$75,000 to $99,999",Alberta,Less than high school,Yes,Single,English only,No
58,Male,"$125,000 and more",Nova Scotia,High school diploma,Yes,Has a partner,English only,No
44,Male,"$25,000 to $49,999",New Brunswick,High school diploma,Yes,Has a partner,French only,No
61,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes
27,Male,"Less than $25,000",Quebec,Bachelor's degree,No,Single,French only,Yes
16,Male,"$25,000 to $49,999",Manitoba,Less than high school,No,Single,English only,Yes
71,Female,"$25,000 to $49,999",New Brunswick,Less than high school,Yes,Has a partner,French only,No
69,Male,"$50,000 to $74,999",Quebec,High school diploma,Yes,Single,French only,No
80,Male,"$50,000 to $74,999",Manitoba,College or certificate,Yes,Single,Both English and French,No
55,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Single,English only,Yes
55,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,Yes
70,Male,"$25,000 to $49,999",British Columbia,High school diploma,Yes,Single,English only,No
41,Male,"$25,000 to $49,999",Nova Scotia,Bachelor's degree,Yes,Single,English only,Yes
